Row-number,IATI-XML,IATI-Section,IATI-Item,Proposed-IATI-Field,Proposed-HXL-Hashtag,Proposed-Database-Field,Notes
1,iati-activities,iati-activities,,,,,
2,iati-activities/@version,,version,,,,
3,iati-activities/@generated-datetime,,generated-datetime,,,,
4,iati-activities/@linked-data-default,,linked-data-default,,,,
5,iati-activities/iati-activity,iati-activity,,,,,
6,iati-activities/iati-activity/@last-updated-datetime,,last-updated-datetime,,,,
7,iati-activities/iati-activity/@xml:lang,,xml:lang,,,,
8,iati-activities/iati-activity/@default-currency,,default-currency,,,,
9,iati-activities/iati-activity/@humanitarian,,humanitarian,,,,
10,iati-activities/iati-activity/@hierarchy,,hierarchy,,,,
11,iati-activities/iati-activity/@linked-data-uri,,linked-data-uri,,,,
12,iati-activities/iati-activity/@budget-not-provided,,budget-not-provided,,,,
13,iati-activities/iati-activity/iati-identifier,iati-identifier,,,,,
14,iati-activities/iati-activity/iati-identifier/text(),,,,,,
15,iati-activities/iati-activity/reporting-org,reporting-org,,,,,
16,iati-activities/iati-activity/reporting-org/@ref,,ref,,,,
17,iati-activities/iati-activity/reporting-org/@type,,type,,,,
18,iati-activities/iati-activity/reporting-org/@secondary-reporter,,secondary-reporter,,,,
19,iati-activities/iati-activity/reporting-org/narrative,,narrative,,,,
20,iati-activities/iati-activity/reporting-org/narrative/text(),,,,,,
21,iati-activities/iati-activity/reporting-org/narrative/@xml:lang,,xml:lang,,,,
22,iati-activities/iati-activity/title,title,,,,,
23,iati-activities/iati-activity/title/narrative,,narrative,,,,
24,iati-activities/iati-activity/title/narrative/text(),,,,,,
25,iati-activities/iati-activity/title/narrative/@xml:lang,,xml:lang,,,,
26,iati-activities/iati-activity/description,description,,,,,
27,iati-activities/iati-activity/description/@type,,type,,,,
28,iati-activities/iati-activity/description/narrative,,narrative,,,,
29,iati-activities/iati-activity/description/narrative/text(),,,,,,
30,iati-activities/iati-activity/description/narrative/@xml:lang,,xml:lang,,,,
31,iati-activities/iati-activity/participating-org,participating-org,,,,,
32,iati-activities/iati-activity/participating-org/@ref,,ref,,,,
33,iati-activities/iati-activity/participating-org/@type,,type,,,,
34,iati-activities/iati-activity/participating-org/@role,,role,,,,
35,iati-activities/iati-activity/participating-org/@activity-id,,activity-id,,,,
36,iati-activities/iati-activity/participating-org/@crs-channel-code,,crs-channel-code,,,,
37,iati-activities/iati-activity/participating-org/narrative,,narrative,,,,
38,iati-activities/iati-activity/participating-org/narrative/text(),,,,,,
39,iati-activities/iati-activity/participating-org/narrative/@xml:lang,,xml:lang,,,,
40,iati-activities/iati-activity/other-identifier,other-identifier,,,,,
41,iati-activities/iati-activity/other-identifier/@ref,,ref,,,,
42,iati-activities/iati-activity/other-identifier/@type,,type,,,,
43,iati-activities/iati-activity/other-identifier/owner-org,,owner-org,,,,
44,iati-activities/iati-activity/other-identifier/owner-org/@ref,,ref,,,,
45,iati-activities/iati-activity/other-identifier/owner-org/narrative,,narrative,,,,
46,iati-activities/iati-activity/other-identifier/owner-org/narrative/text(),,,,,,
47,iati-activities/iati-activity/other-identifier/owner-org/narrative/@xml:lang,,xml:lang,,,,
48,iati-activities/iati-activity/activity-status,activity-status,,,,,
49,iati-activities/iati-activity/activity-status/@code,,code,,,,
50,iati-activities/iati-activity/activity-date,activity-date,,,,,
51,iati-activities/iati-activity/activity-date/@type,,type,,,,
52,iati-activities/iati-activity/activity-date/@iso-date,,iso-date,,,,
53,iati-activities/iati-activity/activity-date/narrative,,narrative,,,,
54,iati-activities/iati-activity/activity-date/narrative/text(),,,,,,
55,iati-activities/iati-activity/activity-date/narrative/@xml:lang,,xml:lang,,,,
56,iati-activities/iati-activity/contact-info,contact-info,,,,,
57,iati-activities/iati-activity/contact-info/@type,,type,,,,
58,iati-activities/iati-activity/contact-info/organisation,,organisation,,,,
59,iati-activities/iati-activity/contact-info/organisation/narrative,,narrative,,,,
60,iati-activities/iati-activity/contact-info/organisation/narrative/text(),,,,,,
61,iati-activities/iati-activity/contact-info/organisation/narrative/@xml:lang,,xml:lang,,,,
62,iati-activities/iati-activity/contact-info/department,,department,,,,
63,iati-activities/iati-activity/contact-info/department/narrative,,narrative,,,,
64,iati-activities/iati-activity/contact-info/department/narrative/text(),,,,,,
65,iati-activities/iati-activity/contact-info/department/narrative/@xml:lang,,xml:lang,,,,
66,iati-activities/iati-activity/contact-info/person-name,,person-name,,,,
67,iati-activities/iati-activity/contact-info/person-name/narrative,,narrative,,,,
68,iati-activities/iati-activity/contact-info/person-name/narrative/text(),,,,,,
69,iati-activities/iati-activity/contact-info/person-name/narrative/@xml:lang,,xml:lang,,,,
70,iati-activities/iati-activity/contact-info/job-title,,job-title,,,,
71,iati-activities/iati-activity/contact-info/job-title/narrative,,narrative,,,,
72,iati-activities/iati-activity/contact-info/job-title/narrative/text(),,,,,,
73,iati-activities/iati-activity/contact-info/job-title/narrative/@xml:lang,,xml:lang,,,,
74,iati-activities/iati-activity/contact-info/telephone,,telephone,,,,
75,iati-activities/iati-activity/contact-info/telephone/text(),,,,,,
76,iati-activities/iati-activity/contact-info/email,,email,,,,
77,iati-activities/iati-activity/contact-info/email/text(),,,,,,
78,iati-activities/iati-activity/contact-info/website,,website,,,,
79,iati-activities/iati-activity/contact-info/website/text(),,,,,,
80,iati-activities/iati-activity/contact-info/mailing-address,,mailing-address,,,,
81,iati-activities/iati-activity/contact-info/mailing-address/narrative,,narrative,,,,
82,iati-activities/iati-activity/contact-info/mailing-address/narrative/text(),,,,,,
83,iati-activities/iati-activity/contact-info/mailing-address/narrative/@xml:lang,,xml:lang,,,,
84,iati-activities/iati-activity/activity-scope,activity-scope,,,,,
85,iati-activities/iati-activity/activity-scope/@code,,code,,,,
86,iati-activities/iati-activity/recipient-country,recipient-country,,,,,
87,iati-activities/iati-activity/recipient-country/@code,,code,,,,
88,iati-activities/iati-activity/recipient-country/@percentage,,percentage,,,,
89,iati-activities/iati-activity/recipient-country/narrative,,narrative,,,,
90,iati-activities/iati-activity/recipient-country/narrative/text(),,,,,,
91,iati-activities/iati-activity/recipient-country/narrative/@xml:lang,,xml:lang,,,,
92,iati-activities/iati-activity/recipient-region,recipient-region,,,,,
93,iati-activities/iati-activity/recipient-region/@code,,code,,,,
94,iati-activities/iati-activity/recipient-region/@vocabulary,,vocabulary,,,,
95,iati-activities/iati-activity/recipient-region/@vocabulary-uri,,vocabulary-uri,,,,
96,iati-activities/iati-activity/recipient-region/@percentage,,percentage,,,,
97,iati-activities/iati-activity/recipient-region/narrative,,narrative,,,,
98,iati-activities/iati-activity/recipient-region/narrative/text(),,,,,,
99,iati-activities/iati-activity/recipient-region/narrative/@xml:lang,,xml:lang,,,,
100,iati-activities/iati-activity/location,location,,,,,
101,iati-activities/iati-activity/location/@ref,,ref,,,,
102,iati-activities/iati-activity/location/location-reach,,location-reach,,,,
103,iati-activities/iati-activity/location/location-reach/@code,,code,,,,
104,iati-activities/iati-activity/location/location-id,,location-id,,,,
105,iati-activities/iati-activity/location/location-id/@code,,code,,,,
106,iati-activities/iati-activity/location/location-id/@vocabulary,,vocabulary,,,,
107,iati-activities/iati-activity/location/name,,name,,,,
108,iati-activities/iati-activity/location/name/narrative,,narrative,,,,
109,iati-activities/iati-activity/location/name/narrative/text(),,,,,,
110,iati-activities/iati-activity/location/name/narrative/@xml:lang,,xml:lang,,,,
111,iati-activities/iati-activity/location/description,,description,,,,
112,iati-activities/iati-activity/location/description/narrative,,narrative,,,,
113,iati-activities/iati-activity/location/description/narrative/text(),,,,,,
114,iati-activities/iati-activity/location/description/narrative/@xml:lang,,xml:lang,,,,
115,iati-activities/iati-activity/location/activity-description,,activity-description,,,,
116,iati-activities/iati-activity/location/activity-description/narrative,,narrative,,,,
117,iati-activities/iati-activity/location/activity-description/narrative/text(),,,,,,
118,iati-activities/iati-activity/location/activity-description/narrative/@xml:lang,,xml:lang,,,,
119,iati-activities/iati-activity/location/administrative,,administrative,,,,
120,iati-activities/iati-activity/location/administrative/@code,,code,,,,
121,iati-activities/iati-activity/location/administrative/@vocabulary,,vocabulary,,,,
122,iati-activities/iati-activity/location/administrative/@level,,level,,,,
123,iati-activities/iati-activity/location/point,,point,,,,
124,iati-activities/iati-activity/location/point/@srsName,,srsName,,,,
125,iati-activities/iati-activity/location/point/pos,,pos,,,,
126,iati-activities/iati-activity/location/exactness,,exactness,,,,
127,iati-activities/iati-activity/location/exactness/@code,,code,,,,
128,iati-activities/iati-activity/location/location-class,,location-class,,,,
129,iati-activities/iati-activity/location/location-class/@code,,code,,,,
130,iati-activities/iati-activity/location/feature-designation,,feature-designation,,,,
131,iati-activities/iati-activity/location/feature-designation/@code,,code,,,,
132,iati-activities/iati-activity/sector,sector,,,,,
133,iati-activities/iati-activity/sector/@vocabulary,,vocabulary,,,,
134,iati-activities/iati-activity/sector/@vocabulary-uri,,vocabulary-uri,,,,
135,iati-activities/iati-activity/sector/@code,,code,,,,
136,iati-activities/iati-activity/sector/@percentage,,percentage,,,,
137,iati-activities/iati-activity/sector/narrative,,narrative,,,,
138,iati-activities/iati-activity/sector/narrative/text(),,,,,,
139,iati-activities/iati-activity/sector/narrative/@xml:lang,,xml:lang,,,,
140,iati-activities/iati-activity/tag,tag,,,,,
141,iati-activities/iati-activity/tag/@code,,code,,,,
142,iati-activities/iati-activity/tag/@vocabulary,,vocabulary,,,,
143,iati-activities/iati-activity/tag/@vocabulary-uri,,vocabulary-uri,,,,
144,iati-activities/iati-activity/tag/narrative,,narrative,,,,
145,iati-activities/iati-activity/tag/narrative/text(),,,,,,
146,iati-activities/iati-activity/tag/narrative/@xml:lang,,xml:lang,,,,
147,iati-activities/iati-activity/country-budget-items,country-budget-items,,,,,
148,iati-activities/iati-activity/country-budget-items/@vocabulary,,vocabulary,,,,
149,iati-activities/iati-activity/country-budget-items/budget-item,,budget-item,,,,
150,iati-activities/iati-activity/country-budget-items/budget-item/@code,,code,,,,
151,iati-activities/iati-activity/country-budget-items/budget-item/@percentage,,percentage,,,,
152,iati-activities/iati-activity/country-budget-items/budget-item/description,,description,,,,
153,iati-activities/iati-activity/country-budget-items/budget-item/description/narrative,,narrative,,,,
154,iati-activities/iati-activity/country-budget-items/budget-item/description/narrative/text(),,,,,,
155,iati-activities/iati-activity/country-budget-items/budget-item/description/narrative/@xml:lang,,xml:lang,,,,
156,iati-activities/iati-activity/humanitarian-scope,humanitarian-scope,,,,,
157,iati-activities/iati-activity/humanitarian-scope/@type,,type,,,,
158,iati-activities/iati-activity/humanitarian-scope/@vocabulary,,vocabulary,,,,
159,iati-activities/iati-activity/humanitarian-scope/@vocabulary-uri,,vocabulary-uri,,,,
160,iati-activities/iati-activity/humanitarian-scope/@code,,code,,,,
161,iati-activities/iati-activity/humanitarian-scope/narrative,,narrative,,,,
162,iati-activities/iati-activity/humanitarian-scope/narrative/text(),,,,,,
163,iati-activities/iati-activity/humanitarian-scope/narrative/@xml:lang,,xml:lang,,,,
164,iati-activities/iati-activity/policy-marker,policy-marker,,,,,
165,iati-activities/iati-activity/policy-marker/@vocabulary,,vocabulary,,,,
166,iati-activities/iati-activity/policy-marker/@vocabulary-uri,,vocabulary-uri,,,,
167,iati-activities/iati-activity/policy-marker/@code,,code,,,,
168,iati-activities/iati-activity/policy-marker/@significance,,significance,,,,
169,iati-activities/iati-activity/policy-marker/narrative,,narrative,,,,
170,iati-activities/iati-activity/policy-marker/narrative/text(),,,,,,
171,iati-activities/iati-activity/policy-marker/narrative/@xml:lang,,xml:lang,,,,
172,iati-activities/iati-activity/collaboration-type,collaboration-type,,,,,
173,iati-activities/iati-activity/collaboration-type/@code,,code,,,,
174,iati-activities/iati-activity/default-flow-type,default-flow-type,,,,,
175,iati-activities/iati-activity/default-flow-type/@code,,code,,,,
176,iati-activities/iati-activity/default-finance-type,default-finance-type,,,,,
177,iati-activities/iati-activity/default-finance-type/@code,,code,,,,
178,iati-activities/iati-activity/default-aid-type,default-aid-type,,,,,
179,iati-activities/iati-activity/default-aid-type/@code,,code,,,,
180,iati-activities/iati-activity/default-aid-type/@vocabulary,,vocabulary,,,,
181,iati-activities/iati-activity/default-tied-status,default-tied-status,,,,,
182,iati-activities/iati-activity/default-tied-status/@code,,code,,,,
183,iati-activities/iati-activity/budget,budget,,,,,
184,iati-activities/iati-activity/budget/@type,,type,,,,
185,iati-activities/iati-activity/budget/@status,,status,,,,
186,iati-activities/iati-activity/budget/period-start,,period-start,,,,
187,iati-activities/iati-activity/budget/period-start/@iso-date,,iso-date,,,,
188,iati-activities/iati-activity/budget/period-end,,period-end,,,,
189,iati-activities/iati-activity/budget/period-end/@iso-date,,iso-date,,,,
190,iati-activities/iati-activity/budget/value,,value,,,,
191,iati-activities/iati-activity/budget/value/@currency,,currency,,,,
192,iati-activities/iati-activity/budget/value/@value-date,,value-date,,,,
193,iati-activities/iati-activity/planned-disbursement,planned-disbursement,,,,,
194,iati-activities/iati-activity/planned-disbursement/@type,,type,,,,
195,iati-activities/iati-activity/planned-disbursement/period-start,,period-start,,,,
196,iati-activities/iati-activity/planned-disbursement/period-start/@iso-date,,iso-date,,,,
197,iati-activities/iati-activity/planned-disbursement/period-end,,period-end,,,,
198,iati-activities/iati-activity/planned-disbursement/period-end/@iso-date,,iso-date,,,,
199,iati-activities/iati-activity/planned-disbursement/value,,value,,,,
200,iati-activities/iati-activity/planned-disbursement/value/@currency,,currency,,,,
201,iati-activities/iati-activity/planned-disbursement/value/@value-date,,value-date,,,,
202,iati-activities/iati-activity/planned-disbursement/provider-org,,provider-org,,,,
203,iati-activities/iati-activity/planned-disbursement/provider-org/@ref,,ref,,,,
204,iati-activities/iati-activity/planned-disbursement/provider-org/@provider-activity-id,,provider-activity-id,,,,
205,iati-activities/iati-activity/planned-disbursement/provider-org/@type,,type,,,,
206,iati-activities/iati-activity/planned-disbursement/provider-org/narrative,,narrative,,,,
207,iati-activities/iati-activity/planned-disbursement/provider-org/narrative/text(),,,,,,
208,iati-activities/iati-activity/planned-disbursement/provider-org/narrative/@xml:lang,,xml:lang,,,,
209,iati-activities/iati-activity/planned-disbursement/receiver-org,,receiver-org,,,,
210,iati-activities/iati-activity/planned-disbursement/receiver-org/@ref,,ref,,,,
211,iati-activities/iati-activity/planned-disbursement/receiver-org/@receiver-activity-id,,receiver-activity-id,,,,
212,iati-activities/iati-activity/planned-disbursement/receiver-org/@type,,type,,,,
213,iati-activities/iati-activity/planned-disbursement/receiver-org/narrative,,narrative,,,,
214,iati-activities/iati-activity/planned-disbursement/receiver-org/narrative/text(),,,,,,
215,iati-activities/iati-activity/planned-disbursement/receiver-org/narrative/@xml:lang,,xml:lang,,,,
216,iati-activities/iati-activity/capital-spend,capital-spend,,,,,
217,iati-activities/iati-activity/capital-spend/@percentage,,percentage,,,,
218,iati-activities/iati-activity/transaction,transaction,,,,,
219,iati-activities/iati-activity/transaction/@ref,,ref,,,,
220,iati-activities/iati-activity/transaction/@humanitarian,,humanitarian,,,,
221,iati-activities/iati-activity/transaction/transaction-type,,transaction-type,,,,
222,iati-activities/iati-activity/transaction/transaction-type/@code,,code,,,,
223,iati-activities/iati-activity/transaction/transaction-date,,transaction-date,,,,
224,iati-activities/iati-activity/transaction/transaction-date/@iso-date,,iso-date,,,,
225,iati-activities/iati-activity/transaction/value,,value,,,,
226,iati-activities/iati-activity/transaction/value/@currency,,currency,,,,
227,iati-activities/iati-activity/transaction/value/@value-date,,value-date,,,,
228,iati-activities/iati-activity/transaction/description,,description,,,,
229,iati-activities/iati-activity/transaction/description/narrative,,narrative,,,,
230,iati-activities/iati-activity/transaction/description/narrative/text(),,,,,,
231,iati-activities/iati-activity/transaction/description/narrative/@xml:lang,,xml:lang,,,,
232,iati-activities/iati-activity/transaction/provider-org,,provider-org,,,,
233,iati-activities/iati-activity/transaction/provider-org/@ref,,ref,,,,
234,iati-activities/iati-activity/transaction/provider-org/@provider-activity-id,,provider-activity-id,,,,
235,iati-activities/iati-activity/transaction/provider-org/@type,,type,,,,
236,iati-activities/iati-activity/transaction/provider-org/narrative,,narrative,,,,
237,iati-activities/iati-activity/transaction/provider-org/narrative/text(),,,,,,
238,iati-activities/iati-activity/transaction/provider-org/narrative/@xml:lang,,xml:lang,,,,
239,iati-activities/iati-activity/transaction/receiver-org,,receiver-org,,,,
240,iati-activities/iati-activity/transaction/receiver-org/@ref,,ref,,,,
241,iati-activities/iati-activity/transaction/receiver-org/@receiver-activity-id,,receiver-activity-id,,,,
242,iati-activities/iati-activity/transaction/receiver-org/@type,,type,,,,
243,iati-activities/iati-activity/transaction/receiver-org/narrative,,narrative,,,,
244,iati-activities/iati-activity/transaction/receiver-org/narrative/text(),,,,,,
245,iati-activities/iati-activity/transaction/receiver-org/narrative/@xml:lang,,xml:lang,,,,
246,iati-activities/iati-activity/transaction/disbursement-channel,,disbursement-channel,,,,
247,iati-activities/iati-activity/transaction/disbursement-channel/@code,,code,,,,
248,iati-activities/iati-activity/transaction/sector,,sector,,,,
249,iati-activities/iati-activity/transaction/sector/@vocabulary,,vocabulary,,,,
250,iati-activities/iati-activity/transaction/sector/@vocabulary-uri,,vocabulary-uri,,,,
251,iati-activities/iati-activity/transaction/sector/@code,,code,,,,
252,iati-activities/iati-activity/transaction/sector/narrative,,narrative,,,,
